gene_name,NC_1,NC_2,NC_3,S4_1,S4_2,S4_3
A1BG,45,38,48,31,43,36
A1CF,0,0,0,9,6,7
A2M,12692,13083,13037,921,759,538
A2ML1,0,0,0,0,0,0
A3GALT2,0,0,0,0,0,0
A4GALT,271,288,290,124,145,119
A4GNT,8,5,11,0,2,0
AAAS,488,502,507,590,671,522
AACS,569,642,619,731,906,781
AADAC,0,0,0,2,0,0
AADACL2,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0
AADACL4,6,4,6,0,2,0
AADAT,221,213,252,250,332,288
AAGAB,955,1082,969,1331,1412,1364
AAK1,1609,1619,1598,2161,2396,2149
AAMDC,191,235,239,116,167,112
AAMP,760,718,842,1441,1579,1308
AANAT,0,0,0,0,0,0
AAR2,595,672,658,671,813,695
AARD,29,37,43,9,9,9
AARS1,2248,2525,2499,3782,4200,3746
AARS2,186,185,166,348,338,280
AARSD1,262,282,282,359,409,363
AASDH,250,304,293,372,336,270
AASDHPPT,1157,1308,1232,1836,2172,1799
AASS,1413,1449,1586,786,744,603
AATF,626,705,669,1876,1968,1744
AATK,22,9,18,15,14,11
ABAT,235,272,257,56,56,43
ABCA1,1316,1355,1405,675,818,647
ABCA10,35,41,44,18,20,6
ABCA12,1,1,1,2,3,16
ABCA13,78,58,59,17,43,35
ABCA2,799,878,814,384,497,385
ABCA3,42,28,33,87,106,72
ABCA4,9,12,7,6,2,1
ABCA5,494,537,577,381,385,285
ABCA6,117,88,94,25,26,7
ABCA7,82,64,93,38,38,37
ABCA8,233,218,238,168,164,152
ABCA9,16,17,12,28,14,6
ABCB1,10,2,5,3,8,6
ABCB10,604,656,717,1037,1151,925
ABCB11,0,0,0,0,0,0
ABCB4,91,90,96,5,9,3
ABCB5,0,0,0,0,0,0
ABCB6,229,237,239,219,289,219
ABCB7,245,267,259,351,379,277
ABCB8,256,243,287,336,366,228
ABCB9,68,52,83,86,104,85
ABCC1,1625,1757,1721,1423,1651,1452
ABCC10,350,420,335,350,402,281
ABCC11,5,4,5,4,2,7
ABCC12,0,0,0,0,0,0
ABCC2,6,7,15,64,60,35
ABCC3,2768,2879,2956,1479,1685,1446
ABCC4,871,999,1075,1174,1483,1191
ABCC5,862,837,985,858,1071,907
ABCC6,4,6,7,2,4,1
ABCC8,0,0,0,0,0,0
ABCC9,576,577,588,151,196,157
ABCD1,153,193,180,133,135,109
ABCD2,1,0,2,0,0,0
ABCD3,1403,1548,1407,1789,1999,1823
ABCD4,305,374,362,304,380,293
ABCE1,1753,1911,1951,5722,6329,5331
ABCF1,964,991,1054,1813,2106,1752
ABCF2,505,594,527,1322,1421,1191
ABCF2-H2BK1,640,701,699,1166,1467,1207
ABCF3,594,681,729,822,878,703
ABCG1,0,0,0,2,1,2
ABCG2,29,16,23,35,40,30
ABCG4,10,5,2,2,6,2
ABCG5,0,0,0,0,2,0
ABCG8,1,1,0,0,0,0
ABHD1,0,0,3,0,0,0
ABHD10,360,410,409,879,876,784
ABHD11,42,40,41,83,106,84
ABHD12,874,941,864,1025,1070,905
ABHD12B,3,1,0,0,1,3
ABHD13,512,589,540,586,747,547
ABHD14A,50,29,34,33,42,36
ABHD14A-ACY1,0,3,1,9,8,10
ABHD14B,353,371,372,323,351,237
ABHD15,237,237,227,156,203,171
ABHD16A,358,346,372,270,261,228
ABHD16B,0,6,0,0,0,0
ABHD17A,344,382,384,447,561,401
ABHD17B,544,592,544,450,499,358
ABHD17C,298,340,332,524,562,476
ABHD18,169,150,193,196,199,186
ABHD2,2101,2218,2241,2300,2508,2116
ABHD3,125,123,131,241,253,192
ABHD4,1962,2078,2150,526,655,495
ABHD5,768,859,897,1840,2203,1778
ABHD6,129,90,117,128,104,110
ABHD8,87,71,53,50,51,56
ABI1,1210,1336,1277,1343,1614,1303
ABI2,1746,1902,1953,2195,2474,2141
ABI3,0,0,0,0,1,2
ABI3BP,80,68,87,905,945,750
ABITRAM,245,314,350,460,468,331
ABL1,1130,1294,1246,1487,1883,1451
ABL2,1635,1690,1840,6184,6698,5511
ABLIM1,1172,1242,1196,434,479,438
ABLIM2,5,10,8,4,3,1
ABLIM3,603,605,685,2295,2638,2121
ABO,0,0,0,0,0,0
ABR,939,1045,995,1392,1605,1345
ABRA,5,22,13,1,3,2
ABRACL,320,344,347,1009,1175,978
ABRAXAS1,226,225,284,310,369,293
ABRAXAS2,504,596,582,691,787,637
ABT1,245,293,267,418,498,406
ABTB1,375,333,332,171,166,141
ABTB2,328,364,340,395,427,352
ABTB3,1,1,4,2,3,7
ACAA1,531,636,524,390,460,416
ACAA2,757,883,894,853,899,702
ACACA,1411,1446,1538,1349,1522,1284
ACACB,147,202,158,93,71,68
ACAD10,353,356,375,237,307,231
ACAD11,1074,1072,1147,620,700,579
ACAD8,360,372,406,364,456,362
ACAD9,476,576,514,722,800,664
ACADL,0,0,0,0,0,1
ACADM,1073,1258,1234,1108,1183,1060
ACADS,134,123,110,57,115,73
ACADSB,603,642,683,634,749,637
ACADVL,2894,3107,3133,3949,4383,3936
ACAN,44196,45835,44259,1213,1088,698
ACAP1,21,35,21,37,61,23
ACAP2,2128,2296,2322,3797,4101,3481
ACAP3,393,479,394,443,381,319
ACAT1,718,824,727,1052,1260,1107
ACAT2,336,424,384,680,792,627
ACBD3,1884,2188,2209,2297,2659,2225
ACBD4,118,144,108,33,50,33
ACBD5,864,931,887,950,1076,899
ACBD6,450,431,452,571,632,584
ACBD7,11,14,11,77,70,49
ACCS,371,427,450,158,183,138
ACCSL,0,0,2,0,1,0
ACD,62,88,87,248,222,220
ACE,149,120,151,52,50,48
ACE2,0,0,0,0,0,0
ACER1,0,0,0,2,0,1
ACER2,33,34,52,89,151,112
ACER3,663,661,713,842,987,848
ACHE,4,6,4,3,3,9
ACIN1,3198,3343,3404,4511,5052,4272
ACKR1,0,0,0,0,0,0
ACKR2,3,1,1,0,2,1
ACKR3,446,484,428,53,64,45
ACKR4,216,170,226,365,390,307
ACLY,3566,3863,4060,5611,6601,5616
ACMSD,5,1,2,6,2,6
ACO1,1439,1720,1575,2216,2449,1942
ACO2,1041,1080,1049,1165,1265,967
ACOD1,0,0,0,0,0,0
ACOT1,101,93,86,72,74,62
ACOT11,64,61,43,54,65,59
ACOT12,1,3,2,0,0,0
ACOT13,276,258,303,248,323,280
ACOT2,374,363,427,309,258,202
ACOT4,26,48,41,42,41,36
ACOT6,0,0,0,0,0,0
ACOT7,361,355,347,943,1009,877
ACOT8,157,209,220,147,207,140
ACOT9,989,1000,1072,1230,1505,1209
ACOX1,768,895,834,686,770,661
ACOX2,73,103,110,35,33,34
ACOX3,259,279,258,232,324,268
ACOXL,0,1,0,1,0,1
ACP1,1095,1215,1238,1903,2128,1743
ACP2,408,421,473,305,359,283
ACP3,0,0,0,0,2,3
ACP4,0,0,0,0,0,0
ACP5,48,40,59,87,86,68
ACP6,160,207,231,139,155,152
ACP7,0,0,0,3,0,0
ACR,0,0,1,0,0,0
ACRBP,0,0,0,5,3,8
ACRV1,0,0,0,2,3,0
ACSBG1,41,36,22,46,92,91
ACSBG2,0,2,0,2,0,0
ACSF2,126,139,121,88,97,89
ACSF3,293,326,327,313,345,307
ACSL1,743,780,784,1136,1357,1192
ACSL3,4505,4876,4900,6137,7091,5956
ACSL4,2596,2803,3057,5395,6165,5213
ACSL5,65,48,45,55,59,55
ACSL6,0,0,3,3,4,3
ACSM1,0,0,0,3,0,0
ACSM2A,0,0,0,0,0,0
